Section Task,Keywords,Section Name,Section Type,Template Status,Text
"10.1 Anexos \Schedules (A, B, C, E, F, SE)",Collecting specific tax schedules.,Audit Prep,,Published,01:30
10.2 Declaraciones 1040 \1040 Tax Returns,Obtaining copies of the federal income tax returns.,Audit Prep,,Published,01:30
10.3 Declaraciones Estatales y Locales \State and Local Returns,Gathering copies of state and local tax returns.,Audit Prep,,Published,01:30
"10.4 Forma Adicionales (4562, 8829, etc.) \Forms Additional (4562, 8829, etc.)",Collecting other relevant tax forms.,Audit Prep,,Published,01:30
10.5 Formas de Prarroga (4868/7004) \Extensions (4868/7004),Obtaining any filed tax extension forms.,Audit Prep,,Published,01:30
11. Pagos Estimados \Estimated Payment,Gathering documentation for estimated tax payments.,Audit Prep,,Published,02:30
11.1 Comprobantes EFTPS o IRS Direct PayCollecting proof of electronic or direct payments to the IRS.,"EFTPS receipts, IRS Direct Pay confirmation",Audit Prep,,Published,01:30
11.2 Formas 1040-ES y Cheques CanceladosObtaining copies of estimated tax payment vouchers and canceled checks.,"Form 1040-ES, canceled checks, estimated tax vouchers",Audit Prep,,Published,01:30
11.3 Resumen de Pagos y Fechas \Summary of Dates and Payments,Creating a summary of estimated tax payments made.,Audit Prep,,Published,01:30
12. RevisionReviewing the gathered documents and initial analysis.,"analysis check, audit review, document review",Audit Prep,,,01:30
12.1 Cronóloga Financiera \Financial Timeline,Creating a timeline of key financial events during the tax year(s).,Audit Prep,,,01:30
12.2 Contexto de ingresos/gastosProviding context and explanations for income and expense patterns.,"business operations, expense context, income context, seasonality",Audit Prep,,,01:30
13. NarrativaDeveloping explanations and justifications for certain items.,"audit narrative, explanations, justifications, supporting details",Audit Prep,,,02:30
13.1 Cambios en declaraciones previasExplaining any amendments or changes to prior year tax returns.,"amended returns, prior year amendments, tax return changes",Audit Prep,,,01:30
13.2 Notas de preparador fiscalIncluding any notes or explanations from the tax preparer.,"accountant notes, preparer notes, tax preparer comments",Audit Prep,,,02:30
13.3 Inventario de Documentos \Document Inventory,Creating a list of all documents included in the audit package.,Audit Prep,,,01:30
13.4 Resumen de Ingreso y Gastos \Summary of Income and Expense,Providing a summary overview of the reported income and expenses.,Audit Prep,,,02:30
14. Ensamblaje de Paquete \Packet Assembly,Organizing and compiling all audit-related documents.,Audit Prep,,,02:30
14.1 Organizacion del PaqueteStructuring and labeling the audit document package.,"file structure, labeling, packet organization",Audit Prep,,,02:30
15. Revision con Cliente \Client Review,Reviewing the compiled audit package with the client.,Audit Prep,,,01:30
16. Presentar el paquete \Packet Presentation,Formally presenting the audit package to the client.,Audit Prep,,,01:30
17. Entrega \Submission,Submitting the audit documentation as required.,Audit Prep,,,01:30
Approvals,"authorization, client approval, e-file authorization, sign-off, tax review",Tax Prep,,,01:30
Client Approval,"acceptance, agreement, client approval, sign-off",Engagement,,,01:30
Client Meetings,"client meeting, communication, discussion, progress update",Engagement,,,01:30
Convert to Contact,"client acquisition, close deal, conversion, engagement, onboard",Lead,,,02:30
Create/Send Deliverables,"deliverables, send files, submission, work product",Engagement,,,02:30
Create/Send Invoice,"billing, fee, payment request, tax invoice",Tax Prep,,,01:30
document collection,"document gathering, information request, records collection",Tax Prep,,,01:30
Follow Up,"follow up, next steps, nurture, reminder, second contact",Lead,,,02:30
Gather Documents,"client information, document collection, records, tax documents",Tax Prep,,,01:30
Kick-off Meeting,"client introduction, initial meeting, kick-off, project start",Onboarding,,,01:30
New Lead,"initial contact, inquiry, new lead, potential client, prospect",Lead,,,01:30
Prepare Return,"calculations, return completion, tax form, tax return preparation",Tax Prep,,,01:30
Prepare/Send Final Invoice,"billing, completion, final bill, final invoice, payment request",Onboarding,,,01:30
Prepare/Send Initial Invoice,"billing, first bill, initial invoice, payment request",Onboarding,,,01:30
Project planning,"project plan, resources, scope, strategy, timeline",Onboarding,,,02:30
Send Engagement,"client agreement, engagement letter, scope of work, tax engagement",Tax Prep,,,02:30
Send Marketing,"communication, email, initial contact, lead nurture, marketing, outreach",Lead,,,01:30
Submit,"IRS, e-file, mail, state tax agency, submission, tax filing",Tax Prep,,,01:30
