Section Task,Keywords,Section Name,Section Type,Task Description,Template Status,Text
03. Documentos Legales \Legal Documents,Collecting legal documents relevant to the business and tax situation.,Audit Prep,,"Audit Prep - Documentación Legal
""Primero, queremos recopilar todos los documentos legales relevantes para la situación del negocio y los impuestos. Esto incluye contratos, licencias, y cualquier otro documento que pueda ser necesario para garantizar el cumplimiento legal.""

Tareas:
1. Recopilar los documentos legales relevantes.
2. Revisar los documentos para asegurar que están actualizados.
3. Identificar cualquier documento faltante.
4. Organizar los documentos en un formato accesible para la auditoría.",Published,01:30
01. Analysis \Analysis,Initial review and planning for the tax audit.,Audit Prep,,"Audit Prep - Análisis
""Primero queremos revisar los registros financieros e identificar áreas que no cumplen con las normativas y determinar los pasos necesarios para cumplir con estas.""

Elementos de acción:
1. Recuperar los registros relevantes
2. Revisar los registros y buscar incumplimientos
3. Documentar los incumplimientos
4. Desarrollar o enumerar las acciones requeridas para cumplir con las normativas.",Published,01:30
03.4 Licencias y permisos \Licenses & permits,Gathering relevant business licenses and permits.,Audit Prep,,"""Licencias y permisos - Preparación de auditoría""

""Primero, es necesario recopilar y revisar todas las licencias y permisos comerciales relevantes para garantizar que estén en cumplimiento con las regulaciones locales y estatales. Esto incluye verificar la validez de las licencias y asegurarse de que se hayan obtenido todos los permisos necesarios para operar legalmente.""

Acciones a realizar:
1. Reunir todas las licencias y permisos relevantes.
2. Verificar la validez de cada licencia y permiso.
3. Identificar cualquier licencia o permiso que falte.
4. Documentar el estado de cada licencia y permiso.
5. Desarrollar un plan para obtener cualquier licencia o permiso faltante.",Published,01:30
03.1 Acuerdos \Operating,Gathering operating agreements or partnership agreements.,Audit Prep,,"Acuerdos Operativos - Revisión

Primero, es importante recopilar todos los acuerdos operativos o de asociación relevantes y asegurarnos de que estén actualizados y en cumplimiento con las normativas vigentes. Después, se deberán identificar las áreas que necesitan ser revisadas o ajustadas.

Tareas a realizar:
1. Recopilar todos los acuerdos operativos y de asociación pertinentes.
2. Revisar los documentos para verificar su legalidad y cumplimiento.
3. Documentar cualquier discrepancia o área de mejora.
4. Desarrollar un plan de acción para resolver cualquier problema identificado.",Published,01:30
03.5 Registros estatales anuales \Annual state filings,Obtaining annual reports or filings made with the state.,Audit Prep,,"Preparación de Auditoría - Registros Estatales Anuales
Primero, queremos revisar los informes anuales o presentaciones realizadas ante el estado para garantizar que toda la información esté completa y cumpla con los requisitos legales. Es fundamental identificar cualquier discrepancia y asegurarse de que se tomen las medidas correctivas necesarias.

Tareas:
1. Obtener los informes anuales relevantes.
2. Revisar los registros y buscar discrepancias.
3. Documentar cualquier discrepancia encontrada.
4. Desarrollar o enumerar acciones necesarias para corregir las discrepancias.",Published,01:30
05.2 Gastos Compartidos \Shared Expenses,Documenting expenses shared between business and personal use.,Audit Prep,,"""05.2 Gastos Compartidos - Preparación de Auditoría""
""Primero, se debe revisar los registros financieros relacionados con los gastos compartidos y asegurarse de que estén debidamente documentados. También es importante identificar cualquier área de discrepancia entre los gastos de negocios y personales.""

Acciones a realizar:
1. Recuperar los registros financieros relevantes.
2. Revisar los registros y buscar discrepancias.
3. Documentar las discrepancias encontradas.
4. Desarrollar acciones necesarias para corregir cualquier problema identificado.""",Published,01:30
05.3 Pruebas de Pagos \Proof of payment,Collecting evidence that expenses were actually paid.,Audit Prep,,"""Pruebas de Pagos - Preparación de Auditoría. Esta sección se centra en la recopilación de evidencia que demuestre que los gastos fueron efectivamente pagados. Es importante garantizar que todas las pruebas de pago estén bien documentadas y organizadas para la auditoría.""

Tareas a realizar:
1. Reunir todos los recibos y documentos de pago relevantes.
2. Verificar que cada documento esté completo y correctamente firmado.
3. Clasificar los documentos según su tipo y fecha.
4. Preparar un resumen de los pagos realizados para facilitar la auditoría.",Published,01:30
05.1 Gastos Inusuales \Unusual Expenses,Identifying and documenting any non-recurring or unusual expense items.,Audit Prep,,"""Preparación de Auditoría - Gastos Inusuales"" ""Primero, es fundamental revisar los registros financieros y documentar cualquier gasto no recurrente o inusual que pueda afectar la auditoría. Esto implica identificar y clasificar estos gastos para asegurar que estén correctamente reflejados en los estados financieros.
Elementos de acción:
1. Recuperar los registros financieros relevantes.
2. Revisar los registros y buscar gastos inusuales.
3. Documentar los gastos inusuales identificados.
4. Clasificar y analizar el impacto de estos gastos en la auditoría.""",Published,02:30
05. Gastos \Expenses,Gathering documentation related to the business's expenses.,Audit Prep,,"""Preparación de Auditoría - Gastos"" ""Primero, es necesario reunir toda la documentación relacionada con los gastos del negocio y asegurarse de que todo esté en orden para la auditoría. Esto incluye revisar recibos, facturas y cualquier otro documento que respalde los gastos reportados.""

Elementos de acción:
1. Recopilar toda la documentación de gastos.
2. Revisar los recibos y facturas para asegurarse de que estén completos.
3. Verificar que los gastos estén debidamente clasificados.
4. Documentar cualquier discrepancia o falta de documentación.",Published,01:30
"04.2 Facturas, Reportes POS \Invoices, POS Reports",Collecting invoices issued and reports from point-of-sale systems.,Audit Prep,,"Facturas, Reportes POS - Preparación de Auditoría
Primero, se debe recopilar todas las facturas emitidas y los informes del sistema de punto de venta para asegurarse de que toda la información esté disponible para la auditoría. Esto incluye verificar la precisión de los datos y asegurarse de que se sigan todos los procedimientos adecuados para la emisión de facturas y la recolección de informes.
Acciones:
1. Recopilar todas las facturas emitidas.
2. Obtener los informes del sistema de punto de venta.
3. Verificar la precisión de la información recopilada.
4. Asegurarse de que se sigan todos los procedimientos adecuados.
Invoices, POS Reports - Audit Prep
First, all issued invoices and reports from the point-of-sale system should be collected to ensure that all information is available for the audit. This includes verifying the accuracy of the data and ensuring that all proper procedures for invoicing and report collection are followed.
Action Items:
1. Collect all issued invoices.
2. Retrieve reports from the point-of-sale system.
3. Verify the accuracy of the collected information.
4. Ensure that all proper procedures are followed.",Published,01:30
04.5 Revisar discrepancias 1099 (si hay) \Review 1099 discrepancies (if any),Identifying and investigating any differences between client records and 1099s.,Audit Prep,,"""Revisión de discrepancias 1099""
""Primero, se desea revisar los registros del cliente y comparar cualquier discrepancia con los formularios 1099 recibidos. Esto ayudará a identificar errores o inconsistencias que puedan requerir correcciones o aclaraciones.""

Elementos de acción:
1. Recopilar todos los formularios 1099 relevantes.
2. Revisar los registros del cliente y compararlos con los formularios 1099.
3. Documentar cualquier discrepancia encontrada.
4. Comunicar las discrepancias a los clientes y discutir los pasos a seguir para resolverlas.",Published,01:30
03.2 CP575 EIN IRS \IRS CP575 EIN,Obtaining the official IRS letter confirming the EIN.,Audit Prep,,"Audit Prep - Obtención del EIN

""Primero, es importante asegurarse de que se cuente con la carta oficial del IRS que confirma el Número de Identificación del Empleador (EIN). Esto es crucial para cualquier preparación de auditoría y para cumplir con las obligaciones fiscales.""

Acciones a realizar:
1. Solicitar la carta oficial del IRS que confirma el EIN.
2. Revisar la carta para asegurarse de que toda la información sea correcta.
3. Archivar la carta en los registros de la empresa.
4. Comunicar a las partes interesadas la obtención del EIN.

---

Language: English
<markdown>
Audit Prep - Obtaining the EIN

""First, it is important to ensure that the official IRS letter confirming the Employer Identification Number (EIN) is obtained. This is crucial for any audit preparation and for meeting tax obligations.""

Action Items:
1. Request the official IRS letter confirming the EIN.
2. Review the letter to ensure all information is correct.
3. File the letter in the company records.
4. Communicate the acquisition of the EIN to stakeholders.",Published,01:30
04.1 Inusual Ingresos \Unusual Income,Identifying and documenting any non-recurring or unusual income items.,Audit Prep,,"""Preparación de Auditoría - Ingresos Inusuales"" ""Primero queremos revisar los registros financieros e identificar cualquier ingreso no recurrente o inusual. Esto nos permitirá tener claridad sobre la situación financiera y asegurarnos de que todos los ingresos sean correctamente documentados y reportados.""

Elementos de acción:
1. Recuperar los registros financieros relevantes.
2. Revisar los registros en busca de ingresos inusuales o no recurrentes.
3. Documentar cualquier ingreso identificado.
4. Desarrollar un plan para la correcta inclusión de estos ingresos en los informes financieros.""",Published,01:30
04.4 Conciliacian de ingresos \Income reconciliation,Reconciling reported income with bank deposits and other records.,Audit Prep,,"""Conciliación de ingresos - Preparación de auditoría: Primero, se debe revisar los ingresos reportados y compararlos con los depósitos bancarios y otros registros para asegurar que todo esté en orden y no haya discrepancias.
Tareas a realizar:
1. Recolectar los registros financieros relevantes.
2. Comparar los ingresos reportados con los depósitos bancarios.
3. Identificar cualquier discrepancia o error.
4. Documentar las discrepancias encontradas.
5. Desarrollar un plan de acción para corregir las discrepancias.""",Published,01:30
03.3 Comunicaciones Estatales \State Correspondence,Collecting any communication from state tax authorities.,Audit Prep,,"Comunicaciones Estatales - Preparación de Auditoría
""Primero, es importante recopilar todas las comunicaciones de las autoridades fiscales estatales y asegurarse de que estén organizadas. Esto facilitará la revisión durante el proceso de auditoría.""

Acciones a Realizar:
1. Recopilar todas las comunicaciones relevantes de las autoridades fiscales estatales.
2. Organizar las comunicaciones por fecha y tipo.
3. Revisar las comunicaciones para identificar cualquier área de preocupación.
4. Documentar las comunicaciones y cualquier acción requerida en respuesta.",Published,01:30
04. Ingresos \Income,Gathering documentation related to the business's income.,Audit Prep,,"Ingresos - Preparación de Auditoría
""Primero queremos reunir la documentación relacionada con los ingresos del negocio y asegurarnos de que esté en orden para la auditoría.""Tareas:
1. Reunir los registros de ingresos relevantes.
2. Revisar los registros y verificar su precisión.
3. Documentar cualquier discrepancia o problema.
4. Preparar un informe con los hallazgos y recomendaciones.",Published,01:30
"04.3 Formas \Forms 1099-NEC, MISC, K, INT, DIV",Gathering all relevant income-reporting forms.,Audit Prep,,"""Preparación de Auditoría - Formas 1099-NEC, MISC, K, INT, DIV. Primero, es necesario recopilar todos los formularios de ingresos relevantes para garantizar que la información presentada sea precisa y esté completa. Esto incluye verificar que todos los ingresos reportados estén debidamente documentados y que se cumplan los requisitos fiscales.

Elementos de acción:
1. Reunir todos los formularios 1099-NEC, MISC, K, INT y DIV relevantes.
2. Revisar cada formulario para asegurar que la información sea precisa y esté completa.
3. Comparar los ingresos reportados con los registros financieros.
4. Documentar cualquier discrepancia y preparar un plan para solucionar los problemas identificados.""",Published,01:30
08.1 Depreciacian de Vehiculo \Vehicle Depreciation,Calculating and documenting vehicle depreciation.,Audit Prep,,"""Preparación de Auditoría - Depreciación de Vehículos: En esta sección, se revisará el proceso de cálculo y documentación de la depreciación de vehículos. Es fundamental asegurarse de que se sigan las pautas adecuadas para mantener la precisión en los registros financieros.

Acciones a realizar:
1. Reunir los registros financieros relacionados con la depreciación de vehículos.
2. Revisar los registros y verificar el cálculo de la depreciación.
3. Documentar cualquier discrepancia o error en el cálculo.
4. Desarrollar un plan para corregir cualquier error encontrado.""",Published,01:30
"06.2 Contratos y formas I-9, W-4 \Contracts, I-9s, W-4s",Gathering employment contracts and employee tax forms.,Audit Prep,,"Contratos y formas I-9, W-4 - Preparación de Auditoría
""Primero, es necesario reunir todos los contratos de empleo y formularios fiscales I-9 y W-4 de los empleados para garantizar que estén completos y sean precisos. Esto ayudará a identificar cualquier discrepancia que deba ser abordada antes de la auditoría.""

Acciones:
1. Recopilar todos los contratos de empleo.
2. Recoger los formularios I-9 y W-4 de los empleados.
3. Revisar los documentos en busca de errores o información faltante.
4. Documentar cualquier discrepancia encontrada.
5. Preparar un informe que detalle los hallazgos y las acciones necesarias.",Published,01:30
06. Nomina \Payroll,Gathering documentation related to employee payroll.,Audit Prep,,"Nomina - Preparación de Auditoría
""Primero, se desea revisar la documentación relacionada con la nómina de los empleados para asegurar que todos los registros están en orden y son precisos. Esto incluye verificar los salarios, horas trabajadas y deducciones para garantizar el cumplimiento de las normativas fiscales y laborales.""

Acciones:
1. Reunir toda la documentación relacionada con la nómina.
2. Revisar los registros de salarios y horas trabajadas.
3. Verificar las deducciones y asegurarse de que sean correctas.
4. Documentar cualquier discrepancia o error encontrado.
5. Desarrollar un plan para corregir las discrepancias y asegurar el cumplimiento.",Published,01:30
07.1 Formas W-9 y Contratos \Contracts & Form W9s,Collecting W-9 forms and service agreements for contractors.,Audit Prep,,"Preparación de Auditoría - Formas W-9 y Contratos

En esta sección, se busca recopilar y organizar las formas W-9 y los contratos de los contratistas para asegurar que toda la documentación esté en orden antes de la auditoría.

Acciones a Realizar:
1. Recopilar todas las formas W-9 de los contratistas.
2. Revisar los contratos de servicio para asegurarse de que estén firmados y completos.
3. Documentar cualquier forma W-9 o contrato faltante.
4. Asegurarse de que toda la documentación cumpla con las normativas requeridas.",Published,01:30
08. Uso Vehiculo \Vehicle Use,Gathering documentation for business vehicle expenses.,Audit Prep,,"Uso Vehículo - Preparación de Auditoría
""El objetivo de esta sección es reunir la documentación necesaria para los gastos relacionados con vehículos de negocio, garantizando que todos los registros estén en orden y cumplan con las normativas fiscales.""

Tareas a realizar:
1. Recopilar recibos y documentos relacionados con los gastos del vehículo.
2. Revisar la documentación para asegurarse de que esté completa.
3. Clasificar los gastos por categorías.
4. Preparar un informe que resuma los gastos del vehículo.",Published,01:30
06.4 Informes Nomina \Payroll Reports,Gathering reports from payroll processing services.,Audit Prep,,"Informe de Nómina - Auditoría

""Primero, es necesario revisar los informes de nómina y asegurarse de que todos los datos sean precisos y cumplan con las normativas vigentes. Esto incluirá la validación de salarios, retenciones y otros elementos relacionados con la nómina.""

Acciones a realizar:
1. Recopilar los informes de nómina relevantes.
2. Revisar los datos en busca de errores o discrepancias.
3. Documentar cualquier error encontrado.
4. Proponer acciones correctivas para resolver las discrepancias.",Published,01:30
08.2 Gastos Reales de Auto \Actual Auto Expenses,"Documenting actual expenses like gas, and maintenance., insurance",Audit Prep,,"""Preparación de Auditoría - Gastos Reales de Auto""
""Primero, queremos revisar los gastos reales del auto y asegurarnos de que todos los gastos, como gasolina, mantenimiento e insurance, estén correctamente documentados y sean consistentes con los registros financieros.""

Elementos de acción:
1. Recopilar todos los recibos de gastos de auto.
2. Revisar los registros de gastos y verificar su precisión.
3. Documentar cualquier discrepancia en los gastos.
4. Asegurarse de que todos los gastos estén clasificados correctamente para la auditoría.""

---

Language: English
<markdown>
""Audit Prep - Actual Auto Expenses""
""First, we want to review the actual auto expenses and ensure that all costs, such as gas, maintenance, and insurance, are properly documented and consistent with the financial records.""

Action Items:
1. Gather all auto expense receipts.
2. Review the expense records and verify their accuracy.
3. Document any discrepancies in the expenses.
4. Ensure that all expenses are correctly categorized for the audit.""",Published,02:30
07.2 Resumen de pagos y 1099s emitidosSummarizing payments made to contractors and 1099s issued.,"1099 summary, contractor payments, information returns",Audit Prep,,"Resumen de pagos y emisión de 1099s: En esta sección, se busca revisar los pagos realizados a los contratistas y asegurarse de que todos los formularios 1099 estén correctamente emitidos. Es fundamental garantizar la precisión de la información para cumplir con las normativas fiscales.

Acciones a realizar:
1. Recopilar registros de pagos realizados a contratistas.
2. Verificar la precisión de los formularios 1099 emitidos.
3. Documentar cualquier discrepancia encontrada.
4. Preparar un informe que resuma los pagos y 1099s emitidos.",Published,02:30
"06.3 Forma W-2, W-3, 941, 940 \forms",Collecting employer payroll tax forms.,Audit Prep,,"## Preparación de Auditoría - Formularios de Impuestos

""En esta sección, se deben recopilar y revisar los formularios de impuestos de nómina del empleador para garantizar que estén completos y precisos. Es esencial verificar que todos los formularios requeridos estén disponibles y que se hayan presentado a tiempo.""

### Tareas:

1. Recopilar todos los formularios W-2, W-3, 941 y 940.
2. Revisar cada formulario para detectar errores o información faltante.
3. Asegurarse de que todos los formularios se hayan presentado dentro de los plazos establecidos.
4. Documentar cualquier discrepancia o problema encontrado durante la revisión.
5. Preparar un informe sobre el estado de los formularios de impuestos para la auditoría.",Published,01:30
